text,sentiment,length
"Fair value, does what it's supposed to do. Additional context 89.",1,65
Outstanding customer service and great value. Additional context 14.,2,68
Excellent quality and fast delivery. Highly recommended! Additional context 11.,2,79
"Love this item, exactly what I was looking for. Additional context 92.",2,70
This product is amazing and works perfectly! Additional context 67.,2,67
Excellent quality and fast delivery. Highly recommended! Additional context 76.,2,79
"Terrible quality, broke after one day. Additional context 79.",0,61
Perfect solution to my problem. Very satisfied! Additional context 11.,2,70
Average quality for the price point. Additional context 88.,1,59
"Decent item, meets basic requirements. Additional context 5.",1,60
"Worst purchase ever, complete waste of money. Additional context 70.",0,68
Outstanding customer service and great value. Additional context 48.,2,68
Outstanding customer service and great value. Additional context 69.,2,68
This product is amazing and works perfectly! Additional context 40.,2,67
Perfect solution to my problem. Very satisfied! Additional context 58.,2,70
Average quality for the price point. Additional context 40.,1,59
"Fair value, does what it's supposed to do. Additional context 33.",1,65
Poor customer service and delayed shipping. Additional context 80.,0,66
"Love this item, exactly what I was looking for. Additional context 59.",2,70
Perfect solution to my problem. Very satisfied! Additional context 45.,2,70
Perfect solution to my problem. Very satisfied! Additional context 42.,2,70
"Decent item, meets basic requirements. Additional context 38.",1,61
"Fair value, does what it's supposed to do. Additional context 45.",1,65
"Terrible quality, broke after one day. Additional context 31.",0,61
Average quality for the price point. Additional context 10.,1,59
"Fair value, does what it's supposed to do. Additional context 30.",1,65
Average quality for the price point. Additional context 2.,1,58
Very disappointed with this purchase. Additional context 93.,0,60
Average quality for the price point. Additional context 96.,1,59
"Love this item, exactly what I was looking for. Additional context 17.",2,70
Average quality for the price point. Additional context 60.,1,59
"Love this item, exactly what I was looking for. Additional context 70.",2,70
Average quality for the price point. Additional context 96.,1,59
Product doesn't match description at all. Additional context 60.,0,64
"Fair value, does what it's supposed to do. Additional context 93.",1,65
Product doesn't match description at all. Additional context 20.,0,64
Product doesn't match description at all. Additional context 91.,0,64
Outstanding customer service and great value. Additional context 22.,2,68
Excellent quality and fast delivery. Highly recommended! Additional context 65.,2,79
"Worst purchase ever, complete waste of money. Additional context 82.",0,68
Very disappointed with this purchase. Additional context 76.,0,60
"Decent item, meets basic requirements. Additional context 52.",1,61
Outstanding customer service and great value. Additional context 7.,2,67
"Love this item, exactly what I was looking for. Additional context 33.",2,70
Poor customer service and delayed shipping. Additional context 75.,0,66
"Worst purchase ever, complete waste of money. Additional context 98.",0,68
"Worst purchase ever, complete waste of money. Additional context 29.",0,68
"Love this item, exactly what I was looking for. Additional context 13.",2,70
Perfect solution to my problem. Very satisfied! Additional context 29.,2,70
"Standard product, no complaints but not impressed. Additional context 32.",1,73
Product doesn't match description at all. Additional context 22.,0,64
"Decent item, meets basic requirements. Additional context 67.",1,61
Outstanding customer service and great value. Additional context 56.,2,68
Perfect solution to my problem. Very satisfied! Additional context 47.,2,70
"Love this item, exactly what I was looking for. Additional context 84.",2,70
Poor customer service and delayed shipping. Additional context 57.,0,66
"Love this item, exactly what I was looking for. Additional context 1.",2,69
Product doesn't match description at all. Additional context 38.,0,64
Average quality for the price point. Additional context 61.,1,59
"Product is okay, nothing special but works. Additional context 25.",1,66
Product doesn't match description at all. Additional context 80.,0,64
"Standard product, no complaints but not impressed. Additional context 46.",1,73
This product is amazing and works perfectly! Additional context 93.,2,67
"Love this item, exactly what I was looking for. Additional context 46.",2,70
Product doesn't match description at all. Additional context 71.,0,64
"Fair value, does what it's supposed to do. Additional context 64.",1,65
Outstanding customer service and great value. Additional context 3.,2,67
"Terrible quality, broke after one day. Additional context 94.",0,61
"Terrible quality, broke after one day. Additional context 84.",0,61
This product is amazing and works perfectly! Additional context 60.,2,67
"Fair value, does what it's supposed to do. Additional context 2.",1,64
"Fair value, does what it's supposed to do. Additional context 81.",1,65
